Queries,Intent,Entity
Who directed Inception?,Director,Inception:MOVIE_TITLE
Who was behind the direction of The Hunger Games?,Director,The Hunger Games:MOVIE_TITLE
Who was the creative mind directing Divergent?,Director,Divergent:MOVIE_TITLE
Who had the directoral duties for The Princess Diaries?,Director,The Princess Diaries:MOVIE_TITLE
I'm curious who was in charge of directing the movie Romeo and Juliet?,Director,Romeo and Juliet:MOVIE_TITLE
Could you inform me of the director for Frozen?,Director,Frozen:MOVIE_TITLE
Who took on the role of director for Tangled?,Director,Tangled:MOVIE_TITLE
Who orchestrated the direction of The Princess and the Frog?,Director,The Princess and the Frog:MOVIE_TITLE
Can you identify the director who brought Good Luck Charlie - It's Christmas to life?,Director,Good Luck Charlie - It's Christmas:MOVIE_TITLE
I am curious about the filmmaker who directed Lemonade Mouth. Who was it?,Director,Lemonade Mouth:MOVIE_TITLE
Who masterminded the direction of Starstruck?,Director,Starstruck:MOVIE_TITLE
Could you provide me the name of the individual who directed Frozen 2?,Director,Frozen 2:MOVIE_TITLE
Who steered the direction for the movie Moana?,Director,Moana:MOVIE_TITLE
Who was the leading directoral talent behind Cinderella?,Director,Cinderella:MOVIE_TITLE
Who was the chief director for The Little Mermaid?,Director,The Little Mermaid:MOVIE_TITLE
In Bambi who was responsible for the films direction?,Director,Bambi:MOVIE_TITLE
Who had the creative helm behind directing Dumbo?,Director,Dumbo:MOVIE_TITLE
"I'm eager to learn, who commanded the direction of Peter Pan?",Director,Peter Pan:MOVIE_TITLE
Who was the director for Melody Time ,Director,Melody Time:MOVIE_TITLE
Who carried the directoral baton for The Sword in the Stone?,Director,The Sword in the Stone:MOVIE_TITLE
Could you enlighten me about the director for A Christmas Carol?,Director,A Christmas Carol:MOVIE_TITLE
"I'm looking for the name of the director who crafted Monkeys, Go Home?",Director,"Monkeys, Go Home:MOVIE_TITLE"
Who was the architect behind the direction of The Jungle Book?,Director,The Jungle Book:MOVIE_TITLE
"In the making of 'King of the Grizzlies', who was the guiding directorial hand?",Director,King of the Grizzlies:MOVIE_TITLE
Who orchestrated the cinematic direction of 'Chicken Little'?,Director,Chicken Little:MOVIE_TITLE
Can you disclose who directed the narrative of 'Cars?,Director,Cars:MOVIE_TITLE
Who was the principal director for the movie 'Ratatouille'?,Director,Ratatouille:MOVIE_TITLE
I'm seeking the identity of the director for 'Hannah Montana The Movie'. Any ideas?,Director,Hannah Montana The Movie:MOVIE_TITLE
Who took the directorial reigns for the creation of 'Gnomeo & Juliet?,Director,Gnomeo & Juliet:MOVIE_TITLE
I'm interested in knowing who had the creative control in directing 'Inception'.,Director,Inception:MOVIE_TITLE
I'd appreciate knowing who was in command of the direction for 'Inception'.,Director,Inception:MOVIE_TITLE
 Can you please tell me who the director for 'Secret of the Wings' was?,Director,Secret of the Wings:MOVIE_TITLE
"Who was the captain of the ship in directing ""Pirates of the Caribbean""?",Director,Pirates of the Caribbean:MOVIE_TITLE
Who orchestrated the visual and narrative direction of 'Monsters University'?,Director,Monsters University:MOVIE_TITLE
Can you identify the directorial genius behind 'The Pirate Fairy'?,Director,The Pirate Fairy:MOVIE_TITLE
"I'd like to know, who led the direction of 'Toy Story'?",Director,Toy Story:MOVIE_TITLE
Who managed the direction of 'Brave'?,Director,Brave:MOVIE_TITLE
Who masterminded the film direction of 'Zootopia'?,Director,Zootopia:MOVIE_TITLE
"In 'Tinker Bell and The Legend of the NeverBeast', who took on the directorial role?",Director,Tinker Bell and The Legend of the NeverBeast:MOVIE_TITLE
Who led the cinematic direction for Aladdin?,Director,Aladdin:MOVIE_TITLE
Who navigated the direction of 'The Emperor's New Groove'?,Director,The Emperor's New Groove:MOVIE_TITLE
I'd like to find out who was the directorial mind behind 'Lilo & Stitch'?,Director,Lilo & Stitch:MOVIE_TITLE
Who captained the direction of 'Tarzan'?,Director,Tarzan:MOVIE_TITLE
Can you disclose the guiding hand in directing 'Hercules'?,Director,Hercules:MOVIE_TITLE
I'm curious about the director of 'The Hunchback of Notre Dame'. Who was it?,Director,The Hunchback of Notre Dame:MOVIE_TITLE
I'm seeking the director of 'Beauty and the Beast'. Any leads?,Director,Beauty and the Beast:MOVIE_TITLE
Who was responsible for bringing 'The Incredibles' to the screen as director?,Director,The Incredibles:MOVIE_TITLE
Who had the vision and directed 'Coco'?,Director,Coco:MOVIE_TITLE
Who orchestrated the direction for 'The Lion King'?,Director,The Lion King:MOVIE_TITLE
Can you share the director's name for 'Tangled'?,Director,Tangled:MOVIE_TITLE
Who was at the directorial forefront of 'Mulan'?,Director,Mulan:MOVIE_TITLE
I'm interested in the director of 'Onward'. Who was it?,Director,Onward:MOVIE_TITLE
Could you provide the name of the director for 'Big Hero 6'?,Director,Big Hero 6:MOVIE_TITLE
Who was the creative director for 'Sleeping Beauty'?,Director,Sleeping Beauty:MOVIE_TITLE
Can you enlighten me on who directed 'Lady and the Tramp'?,Director,Lady and the Tramp:MOVIE_TITLE
I'm curious about the director of 'The Hunchback of Notre Dame'. Who was it?,Director,The Hunchback of Notre Dame:MOVIE_TITLE
Who was the principal director behind 'Atlantis - The Lost Empire'?,Director,Atlantis - The Lost Empire:MOVIE_TITLE
Who was the mastermind directing 'Oliver & Company'?,Director,Oliver & Company:MOVIE_TITLE
Can you reveal the director of 'Meet the Robinsons'?,Director,Meet the Robinsons:MOVIE_TITLE
Who was the visionary behind 'Brother Bear's direction?,Director,Brother Bear:MOVIE_TITLE
Who crafted the direction for 'Big Hero 6'?,Director,Big Hero 6:MOVIE_TITLE
Who managed to helm the direction of 'Raya and the Last Dragon'?,Director,Raya and the Last Dragon:MOVIE_TITLE
I'm seeking the directorial mind behind 'Luca'. Any ideas?,Director,Luca:MOVIE_TITLE
Who was responsible for 'Winnie the Pooh's cinematic direction?,Director,Winnie the Pooh:MOVIE_TITLE
Could you tell me who was in the director's chair for 'Zootopia'?,Director,Zootopia:MOVIE_TITLE
I'd appreciate insights into who led 'Moana's direction.,Director,Moana:MOVIE_TITLE
Can you enlighten me about who directed '101 Dalmatians'?,Director,101 Dalmatians:MOVIE_TITLE
"I'd like to know, who took on the directorial role for 'Cinderella'?",Director,Cinderella:MOVIE_TITLE
Who was the director for 'La La Land'?,Director,La La Land:MOVIE_TITLE
Who was the visionary behind the direction of 'Bolt'?,Director,Bolt:MOVIE_TITLE
Can you reveal the director of 'The Princess and the Frog'?,Director,The Princess and the Frog:MOVIE_TITLE
Who orchestrated the direction of 'Chicken Little'?,Director,Chicken Little:MOVIE_TITLE
"I'd like to know, who was in charge of directing 'Treasure Planet'?",Director,Treasure Planet:MOVIE_TITLE
Can you tell me who directed 'Pocahontas'?,Director,Pocahontas:MOVIE_TITLE
Could you provide the name of the individual who directed 'The Great Mouse Detective'?,Director,The Great Mouse Detective:MOVIE_TITLE
Can you disclose who was in the director's chair for 'The Sword in the Stone'?,Director,The Sword in the Stone:MOVIE_TITLE
Could you inform me who directed the whimsical 'Fantasia 2000'?,Director,Fantasia 2000:MOVIE_TITLE
I'm seeking the director of 'Hercules' (1997). Any leads?,Director,Hercules:MOVIE_TITLE
Who was at the helm of directing the thrilling 'Jaws'?,Director,Jaws:MOVIE_TITLE
Could you inform me who directed the dramatic 'Schindler's List'?,Director,Schindler's List:MOVIE_TITLE
Who masterminded the direction of the captivating 'Gone with the Wind'?,Director,Gone with the Wind:MOVIE_TITLE
Who was the visionary behind the direction of 'The Godfather'?,Director,The Godfather:MOVIE_TITLE
Who orchestrated the direction of the poignant 'Forrest Gump'?,Director,Forrest Gump:MOVIE_TITLE
Who was responsible for directing the gripping 'Fight Club'?,Director,Fight Club:MOVIE_TITLE
Could you reveal who orchestrated the direction of the iconic 'Titanic'?,Director,Titanic:MOVIE_TITLE
Can you disclose who was in the director's chair for 'Inglourious Basterds'?,Director,Inglourious Basterds:MOVIE_TITLE
I'm interested in the director of the gripping tale 'Dunkirk'. Who was it?,Director,Dunkirk:MOVIE_TITLE
Who was responsible for the direction of the comedy 'The Hangover'?,Director,The Hangover:MOVIE_TITLE
I'm eager to learn who directed the animated feature 'Coco'. Can you tell me?,Director,Coco:MOVIE_TITLE
"I'd like to know, who was behind the camera for the thriller 'Gone Girl'?",Director,Gone Girl:MOVIE_TITLE
Could you inform me who directed the emotional 'Manchester by the Sea'?,Director,Manchester by the Sea:MOVIE_TITLE
Who masterminded the direction of the musical 'Moulin Rouge!'?,Director,Moulin Rouge:MOVIE_TITLE
Could you enlighten me about the director for the adventurous 'Pirates of the Caribbean: Dead Man's Chest'?,Director,Pirates of the Caribbean:MOVIE_TITLE
Who took the directorial reins for the heartfelt 'The Pursuit of Happyness'?,Director,The Pursuit of Happyness:MOVIE_TITLE
Can you tell me who was behind the lens for the intense 'Black Swan'?,Director,Black Swan:MOVIE_TITLE
Who orchestrated the direction of the captivating 'The Imitation Game'?,Director,The Imitation Game:MOVIE_TITLE
"I'd like to know, who steered the narrative for the romantic drama 'The Notebook'?",Director,The Notebook:MOVIE_TITLE
Who took on the directorial role for the iconic 'Breakfast at Tiffany's'?,Director,Breakfast at Tiffany's:MOVIE_TITLE
Could you enlighten me about the director for the fantasy 'Harry Potter and the Prisoner of Azkaban'?,Director,Harry Potter and the Prisoner of Azkaban:MOVIE_TITLE
Who was the creative genius behind the epic 'Gladiator'?,Director,Gladiator:MOVIE_TITLE
Can you tell me who was behind the lens for the intense 'Black Swan'?,Director,Black Swan:MOVIE_TITLE
Who is the lead actor in Titanic?,Lead Actor,Titanic:MOVIE_TITLE
Who stars as the lead in 'The Matrix'?,Lead Actor,The Matrix:MOVIE_TITLE
Can you tell me the leading actor in 'Forrest Gump'?,Lead Actor,Forrest Gump:MOVIE_TITLE
"I'm curious, who is the main actor in 'Titanic'?",Lead Actor,Titanic:MOVIE_TITLE
Who played the lead role in 'Gladiator'?,Lead Actor,Gladiator:MOVIE_TITLE
Who is the principal actor in 'The Shawshank Redemption'?,Lead Actor,The Shawshank Redemption:MOVIE_TITLE
I'd like to know the lead actor in 'Inception'.,Lead Actor,Inception:MOVIE_TITLE
Who took the lead in 'Jurassic Park'?,Lead Actor,Jurassic Park:MOVIE_TITLE
Who is the leading man in 'Iron Man'?,Lead Actor,Iron Man:MOVIE_TITLE
Can you identify the lead actor in 'Pirates of the Caribbean'?,Lead Actor,Pirates of the Caribbean:MOVIE_TITLE
Who was the lead actor in 'The Dark Knight'?,Lead Actor,The Dark Knight:MOVIE_TITLE
Who is the main actor in 'High School Musical'?,Lead Actor,High School Musical:MOVIE_TITLE
Can you tell me who the lead in 'Camp Rock' is?,Lead Actor,Camp Rock:MOVIE_TITLE
"I'm curious, who stars in the leading role of 'The Cheetah Girls'?",Lead Actor,The Cheetah Girls:MOVIE_TITLE
Who played the primary character in 'Descendants'?,Lead Actor,Descendants:MOVIE_TITLE
Who was cast as the lead in 'Lemonade Mouth'?,Lead Actor,Lemonade Mouth:MOVIE_TITLE
Who leads the cast in 'Halloweentown'?,Lead Actor,Halloweentown:MOVIE_TITLE
I'd like to know the leading actor in 'Teen Beach Movie'.,Lead Actor,Teen Beach Movie:MOVIE_TITLE
Who took on the lead role in 'Let It Shine'?,Lead Actor,Let It Shine:MOVIE_TITLE
Can you identify the main actor in 'Kim Possible Movie: So the Drama'?,Lead Actor,Kim Possible Movie: So the Drama:MOVIE_TITLE
Who holds the leading role in 'Zapped'?,Lead Actor,Zapped:MOVIE_TITLE
Who is the lead voice actor in 'The Lion King'?,Lead Actor,The Lion King:MOVIE_TITLE
Can you tell me who voiced the main character in 'Moana'?,Lead Actor,Moana:MOVIE_TITLE
Who played the leading role in 'Aladdin' (1992)?,Lead Actor,Aladdin:MOVIE_TITLE
Who voices the protagonist in 'Mulan'?,Lead Actor,Mulan:MOVIE_TITLE
"I'm curious, who is the lead actor in 'Zootopia'?",Lead Actor,Zootopia:MOVIE_TITLE
Who provided the voice for the lead character in 'Frozen'?,Lead Actor,Frozen:MOVIE_TITLE
